mascot,seed,data_mascot,data_article,data_date,data_views
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-30,2149
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-01,1003
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-02,573
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-03,415
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-04,349
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-05,362
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-06,388
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-07,1345
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-12-08,293
Uga,3,Uga,Uga_(mascot),2025-08-01,116
Uga,3,Uga,Uga_(mascot),2025-08-02,111
Uga,3,Uga,Uga_(mascot),2025-08-03,104
Uga,3,Uga,Uga_(mascot),2025-08-04,115
Uga,3,Uga,Uga_(mascot),2025-08-05,123
Uga,3,Uga,Uga_(mascot),2025-08-06,132
Uga,3,Uga,Uga_(mascot),2025-08-07,149
Uga,3,Uga,Uga_(mascot),2025-08-08,155
Uga,3,Uga,Uga_(mascot),2025-08-09,172
Uga,3,Uga,Uga_(mascot),2025-08-10,142
Uga,3,Uga,Uga_(mascot),2025-08-11,124
Uga,3,Uga,Uga_(mascot),2025-08-12,144
Uga,3,Uga,Uga_(mascot),2025-08-13,120
Uga,3,Uga,Uga_(mascot),2025-08-14,129
Uga,3,Uga,Uga_(mascot),2025-08-15,160
Uga,3,Uga,Uga_(mascot),2025-08-16,134
Uga,3,Uga,Uga_(mascot),2025-08-17,144
Uga,3,Uga,Uga_(mascot),2025-08-18,145
Uga,3,Uga,Uga_(mascot),2025-08-19,148
Uga,3,Uga,Uga_(mascot),2025-08-20,122
Uga,3,Uga,Uga_(mascot),2025-08-21,156
Uga,3,Uga,Uga_(mascot),2025-08-22,147
Uga,3,Uga,Uga_(mascot),2025-08-23,192
Uga,3,Uga,Uga_(mascot),2025-08-24,191
Uga,3,Uga,Uga_(mascot),2025-08-25,200
Uga,3,Uga,Uga_(mascot),2025-08-26,264
Uga,3,Uga,Uga_(mascot),2025-08-27,236
Uga,3,Uga,Uga_(mascot),2025-08-28,219
Uga,3,Uga,Uga_(mascot),2025-08-29,249
Uga,3,Uga,Uga_(mascot),2025-08-30,910
Uga,3,Uga,Uga_(mascot),2025-08-31,624
Uga,3,Uga,Uga_(mascot),2025-09-01,370
Uga,3,Uga,Uga_(mascot),2025-09-02,244
Uga,3,Uga,Uga_(mascot),2025-09-03,214
Uga,3,Uga,Uga_(mascot),2025-09-04,223
Uga,3,Uga,Uga_(mascot),2025-09-05,225
Uga,3,Uga,Uga_(mascot),2025-09-06,466
Uga,3,Uga,Uga_(mascot),2025-09-07,372
Uga,3,Uga,Uga_(mascot),2025-09-08,282
Uga,3,Uga,Uga_(mascot),2025-09-09,271
Uga,3,Uga,Uga_(mascot),2025-09-10,179
Uga,3,Uga,Uga_(mascot),2025-09-11,446
Uga,3,Uga,Uga_(mascot),2025-09-12,1285
Uga,3,Uga,Uga_(mascot),2025-09-13,1606
Uga,3,Uga,Uga_(mascot),2025-09-14,1013
Uga,3,Uga,Uga_(mascot),2025-09-15,577
Uga,3,Uga,Uga_(mascot),2025-09-16,331
Uga,3,Uga,Uga_(mascot),2025-09-17,285
Uga,3,Uga,Uga_(mascot),2025-09-18,230
Uga,3,Uga,Uga_(mascot),2025-09-19,301
Uga,3,Uga,Uga_(mascot),2025-09-20,360
Uga,3,Uga,Uga_(mascot),2025-09-21,356
Uga,3,Uga,Uga_(mascot),2025-09-22,226
Uga,3,Uga,Uga_(mascot),2025-09-23,215
Uga,3,Uga,Uga_(mascot),2025-09-24,208
